componentName,quantity
37*25*5 PEAK RING,104
42*25*5 PEAK RING,132
45*31*8 PEAK RING,75
50*38*6 PEAK RING,219
54*38*9 PEAK RING,0
65*51*7 PEAK RING,95
70*50*10 PEAK RING,68
80*60*11 PEAK RING,39
95*75*8 PEAK RING,31
95*75*11 PEAK RING,32
122*100*10 PEAK RING,6
170*150*10 PEAK RING,2
16*12*2 PEAK SEAL,62
18*12*2 PEAK SEAL,471
22*16*2 PEAK SEAL,146
28*22*3 PEAK SEAL,265
40*30*3 PEAK SEAL,40
44*34*3 PEAK SEAL,0
54*34*3 PEAK SEAL,0
28*22*1.5 PEAK FL BODY SEAL,207
38*32*2 PEAK FL BODY SEAL,128
48*42*2 PEAK FL BODY SEAL,52
57*51*2 PEAK FL BODY SEAL,109
70*64*2 PEAK FL BODY SEAL,76
87*81*2 PEAK FL BODY SEAL,190
102*96*2.5 PEAK FL BODY SEAL,6
128*122*3 PEAK FL BODY SEAL,45
162*156*3 PEAK FL BODY SEAL,12
240*230*3 PEAK FL BODY SEAL,3
37*25*5 GFT RING,198
42*25*5 GFT RING,0
44*31*6 GFT RING,8
54*38*5 GFT RING,128
50*38*6 GFT RING,59
54*38*8 GFT RING,239
65*51*7 GFT RING,24
70*50*9 GFT RING,753
80*60*8 GFT RING,92
95*75*6 GFT RING,192
18*12*2 GFT STEM STEEL,101
28*22*3 GFT STEM STEEL,"1,150"
40*30*3 GFT STEM STEEL,44
40*34*3 GFT STEM STEEL,0
70*64*3 GFT BODY SEAL,88
87*81*2 GFT BODY SEAL,74
102*96*2.5 GFT BODY SEAL,134
128*122*3 GFT BODY SEAL,206
M6*44 SS STUD,417
M8*66 SS STUD,962
M10*74 SS STUD,411
M10*92 SS STUD,9
M12*93 SS STUD,0
M112*98 SS STUD,"1,488"
M116*110 SS STUD,0
M6 SS NUTS,728
M8 SS NUTS,"2,480"
M10 SS NUTS,672
M12 SS NUTS,543
M16 SS NUTS,63
M10*40 MS FULL THREAD,0
M6*44 MS STUD,"1,106"
M6*51 MS STUD,606
M8*58 MS STUD,856
M8*63 MS STUD,"1,749"
M10*70 MS STUD,"4,343"
M10*92 MS STUD,"2,042"
M12*98 MS STUD,0
M12*102 MS STUD,"2,488"
M12*110 MS STUD,"1,654"
M12*125 MS STUD,"1,017"
M12*136 MS STUD,919
M16*110 MS STUD,227
M16*136 MS STUD,630
M16*152 MS STUD,0
M6 MS NUTD,"1,308"
M8 MS NUTD,"16,094"
M10 MS NUTD,"20,631"
M12 MS NUTD,"7,356"
M16 MS NUTD,"2,650"
15 SS 410 BALL,60
25 SS 410 BALL,117
40 SS 410 BALL,110
50 SS 410 BALL,1
16 SS202 ROD DIO,0
18 SS202 ROD DIO,33
28 SS202 ROD DIO,145
32 SS202 ROD DIO,5
36 SS202 ROD DIO,91
40 SS202 ROD DIO,62
45 SS 202 ROD DIO,0
55 SS 202 ROD DIO,17
8 SS 304 ROD DIO,0
16 SS 304 ROD DIO,196
18 SS 304 ROD DIO,25
22 SS 304 ROD DIO,117
28 SS 304 ROD DIO,304
32 SS 304 ROD DIO,122
36 SS 304 ROD DIO,37
40 SS 304 ROD DIO,30
45 SS 304 ROD DIO,21
56 SS 304 ROD DIO,2
65 SS 304 ROD DIO,0
75 SS 304 ROD DIO,0
16 SS316 ROD DIO,385
18 SS316 ROD DIO,80
22 SS316 ROD DIO,33
28 SS316 ROD DIO,132
32 SS316 ROD DIO,45
40 SS316 ROD DIO,36
45 SS316 ROD DIO,10
18 SS410 ROD DIO,14
25 SS410 ROD DIO,32
30 SS410 ROD DIO,43
35 SS410 ROD DIO,29
